Date	Confirmed	Deaths
2020-03-04	108	6
2020-03-05	129	9
2020-03-06	148	10
2020-03-07	213	11
2020-03-08	213	11
2020-03-09	213	11
2020-03-10	472	19
2020-03-11	696	25
2020-03-12	987	29
2020-03-13	1264	36
2020-03-14	1678	41
2020-03-15	1678	41
2020-03-16	1678	41
2020-03-17	3503	58
2020-03-18	3536	58
2020-03-19	7087	100
2020-03-20	10442	150
2020-03-21	15219	201
2020-03-22	15219	201
2020-03-23	31573	402
2020-03-24	42164	471
2020-03-25	51914	673
2020-03-26	63570	884
2020-03-27	68334	991
2020-03-28	85228	1243
2020-03-29	103321	1668
2020-03-30	122653	2112
2020-03-31	140640	2398
2020-04-01	163199	2850
2020-04-02	187302	3846
2020-04-03	213600	4793
2020-04-04	241703	5854
2020-04-05	273808	7020
2020-04-06	307318	8358
2020-04-07	333811	9559
2020-04-08	363321	10845
2020-04-09	395939	12740
2020-04-10	425889	14665
2020-04-11	461275	16596
2020-04-12	492881	18516
2020-04-13	524514	20444
2020-04-14	553822	21972
2020-04-15	578268	23476
2020-04-16	604070	25871
2020-04-17	632781	28221
2020-04-18	665330	30384
2020-04-19	695353	32427
2020-04-20	723605	34203
2020-04-21	751273	35884
2020-04-22	776907	37602
2020-04-23	800926	40073
2020-04-24	830053	42311
2020-04-25	860772	44053
2020-04-26	899281	46204
2020-04-27	931698	47980
2020-04-28	960916	49170
2020-04-29	983457	50492
2020-04-30	1003974	52428
2020-05-01	1035353	55337
2020-05-02	1067127	57406
2020-05-03	1093880	62406
2020-05-04	1125719	60710
2020-05-05	1154985	61906
2020-05-06	1171185	62698
2020-05-07	1193452	65197
2020-05-08	1215571	67146 
2020-05-09	1245874	69889
2020-05-10	1245775	75364
2020-05-11	1271645	76916
2020-05-12	1298287	78652
2020-05-13	1322054	79634
2020-05-14	1340098	80695
2020-05-15	1361522	82119
2020-05-16	1382362	83819
2020-05-17	1409452	85860
2020-05-18	1432265	87180
2020-05-19	1477516	89272
2020-05-20	1477459	89271
2020-05-21	1501876	90203 
2020-05-22	1525186	91527
2020-05-23	1547973	92923
2020-05-24	1568448	94011
2020-05-25	1592599	95863
2020-05-26	1618757	96909
2020-05-27	1634010	97529
2020-05-28	1658896	98119
2020-05-29	1675258	98889
2020-05-30	1694864	100304
2020-05-31	1716078	101567
2020-06-01	1734040	102640
2020-06-02	1783638	104247
2020-06-03	1798330	105008
2020-06-04	1823220	106051 
2020-06-05	1837803	106876 
2020-06-06	1857872	107911 
2020-06-07	1886794	109038 
2020-06-08	1915712	109746
2020-06-09	1933560	110220
2020-06-10	1951096	110770
2020-06-11	1968331	111978 
2020-06-12	1988646	112810
2020-06-13	2010391	113757 
2020-06-14	2032524	114466
2020-06-15	2057838	115112
2020-06-16	2079592	115484
2020-06-17	2098106	115980
2020-06-18	2126027	116702
2020-06-19	2149166	117472
2020-06-20	2172212	118205
2020-06-21	2208829	118895
2020-06-22	2241178	119453
2020-06-23	2268753	119761
2020-06-24	2295272	120171
2020-06-25	2329463	120955
2020-06-26	2367064	121645
2020-06-27	2407590	124161
2020-06-28	2452048	124811
2020-06-29	2496628	125318
2020-06-30	2537636	126203
2020-07-01	2573393	126573
2020-07-02	2616949	127133
2020-07-03	2671220	127858
2020-07-04	2724433	128481
2020-07-05	2776366	129226
2020-07-06	2833552	129408
2020-07-06	2877238	129643 
